CustomerID,name,category,type,country,category
216206,No Plan Selected,rotate,standard,us,static
216416,No Plan Selected,rotate,standard,us,semi-3
201891,No Plan Selected,rotate,standard,us,shopify
212993,No Plan Selected,rotate,standard,us,shopify
29992,No Plan Selected,rotate,standard,de,semi-3
216829,No Plan Selected,rotate,standard,us,static
202052,No Plan Selected,rotate,standard,de,static
154634,No Plan Selected,rotate,standard,us,semi-3
196067,No Plan Selected,rotate,standard,de,semi-3
204936,No Plan Selected,rotate,standard,us,semi-3
217158,No Plan Selected,rotate,standard,us,static
217193,No Plan Selected,rotate,standard,us,static
217263,No Plan Selected,rotate,standard,us,static
217361,No Plan Selected,rotate,standard,de,static
184426,No Plan Selected,rotate,standard,gb,static
177440,No Plan Selected,rotate,standard,us,semi-3
69675,No Plan Selected,rotate,standard,de,static
215653,No Plan Selected,rotate,standard,br,semi-3
217508,No Plan Selected,rotate,standard,us,static
114279,No Plan Selected,rotate,standard,de,static
217585,No Plan Selected,rotate,standard,us,static
113831,No Plan Selected,rotate,standard,us,semi-3
217718,No Plan Selected,rotate,standard,us,static
193379,No Plan Selected,rotate,standard,us,semi-3
45896,No Plan Selected,rotate,standard,us,semi-3
67323,No Plan Selected,rotate,standard,us,static
210795,No Plan Selected,rotate,standard,gb,static
215842,No Plan Selected,rotate,standard,us,shopify
217963,No Plan Selected,rotate,standard,us,static
218082,No Plan Selected,rotate,standard,us,shopify
23300,No Plan Selected,rotate,standard,us,static
218243,No Plan Selected,rotate,standard,us,static
24875,No Plan Selected,rotate,standard,us,static
219048,No Plan Selected,rotate,standard,br,static
203340,No Plan Selected,rotate,standard,us,semi-3
218698,No Plan Selected,rotate,standard,us,static
219132,No Plan Selected,rotate,standard,de,static
219300,No Plan Selected,rotate,standard,us,static
219335,No Plan Selected,rotate,standard,us,static
219706,No Plan Selected,rotate,standard,us,static
219734,No Plan Selected,rotate,standard,us,static
166485,No Plan Selected,rotate,standard,us,semi-3
200869,No Plan Selected,rotate,standard,de,semi-3
218747,No Plan Selected,rotate,standard,us,static
218747,No Plan Selected,rotate,standard,us,semi-3
219762,No Plan Selected,rotate,standard,us,static
218747,No Plan Selected,rotate,standard,de,semi-3
32148,No Plan Selected,rotate,standard,us,static
220406,No Plan Selected,rotate,standard,us,static
220483,No Plan Selected,rotate,standard,us,static
220574,No Plan Selected,rotate,standard,us,static
220595,No Plan Selected,rotate,standard,us,semi-3
195507,No Plan Selected,rotate,standard,in,static
221057,No Plan Selected,rotate,standard,us,static
194730,No Plan Selected,rotate,standard,us,static
221239,No Plan Selected,rotate,standard,br,static
131394,No Plan Selected,rotate,standard,us,static
221806,No Plan Selected,rotate,standard,us,static
150539,No Plan Selected,rotate,standard,us,static
150539,No Plan Selected,rotate,standard,us,shopify
221939,No Plan Selected,rotate,standard,us,static
212797,No Plan Selected,rotate,standard,gb,static
203340,No Plan Selected,rotate,standard,de,semi-3
218047,No Plan Selected,rotate,standard,de,semi-3
164371,No Plan Selected,rotate,standard,us,static
222086,No Plan Selected,rotate,standard,us,semi-3
222093,No Plan Selected,rotate,standard,br,semi-3
109043,No Plan Selected,rotate,standard,de,semi-3
132885,No Plan Selected,rotate,standard,us,static
222499,No Plan Selected,rotate,standard,us,semi-3
222569,No Plan Selected,rotate,standard,us,static
219972,No Plan Selected,rotate,standard,us,static
114902,No Plan Selected,rotate,standard,in,static
218747,No Plan Selected,rotate,standard,br,semi-3
222751,No Plan Selected,rotate,standard,de,static
222905,No Plan Selected,rotate,standard,us,semi-3
142580,No Plan Selected,rotate,standard,de,static
142580,No Plan Selected,rotate,standard,de,semi-3
