userid,country_code,orders,revenue,tenure,unique_product,client_status
222394,GB,1,61.2,468,1,Active
222450,US,1,661.2,354,1,Inactive
222499,MY,1,155.52,423,1,Inactive
222555,TH,1,524,443,1,Active
222569,US,1,144,374,1,Inactive
222751,AU,3,4752,1577,3,Active
222905,JP,1,28.2,411,1,Inactive
222954,TH,1,144,562,1,Inactive
223143,US,1,72,520,1,Inactive
223192,IL,2,204,697,2,Inactive
223325,AU,1,30,336,1,Inactive
223584,JP,1,523.44,606,1,Inactive
223675,US,1,72,513,1,Inactive
223731,US,1,288,591,1,Inactive
223766,US,1,72,329,1,Inactive
223787,US,2,1749,618,2,Inactive
223997,US,1,348,435,1,Active
224025,JP,1,327.12,430,1,Inactive
224382,GB,1,120,626,1,Inactive
224501,GB,1,96,372,1,Inactive
224550,US,1,72,334,1,Inactive
224557,US,1,144,309,1,Inactive
224585,US,1,122.4,336,1,Inactive
224956,UA,1,144,500,1,Active
224977,GB,1,129.6,456,1,Inactive
22523,US,1,30,934,1,Inactive
225320,US,1,144,317,1,Inactive
225635,IL,1,132,633,1,Inactive
225656,GB,1,120,424,1,Inactive
